subject,body,sender,label
Transaction alert for your ICICI Bank Credit Card,"Dear Customer, Your ICICI Bank Credit Card XX0007 has been used for a transaction of INR 51.00 on Jan 31, 2026 at 04:11:08. Info: UPI-603100824729-ZARIVAUL. The Available Credit Limit on your card is",s@icicibank.com,NOT_EXPENSE
Your payment of ₹ 132.0 to Zepto  was successful,"Hi Shivam, Your payment to Zepto was Approved Paid to Amount Zepto ₹132.0 Seller Zepto Zepto Id Z-AGN4A2EKEZ4CJOKZX6NJ5ZD26Y-1 Transaction ID P04-4466793-5546544 Payment date Thursday, 15 January, 2026",no-reply@amazonpay.in,NOT_EXPENSE
Yay! Your subscription is now active,"Hey, Your LIV Premium subscription is now active. Please note your Order number: 947858968. Your subscription will expire on 08 Jul 2026. Start streaming thousands of hours of unlimited entertainment!",noreply@setindia.com,NOT_EXPENSE
Delivered: 1 item | Order # 405-1162926-1473960,Delivered: 1 item | Order # 405-1162926-1473960͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏,order-update@amazon.in,NOT_EXPENSE
Thank you for your payment. Your FIRST Power+ Credit Card is on its way.,"Dear Customer, Thank you for making Joining Fee Payment for your FIRST Power+ Credit Card. Your FIRST Power+ Credit Card is on its way and should be with you over next 5 working days. However, you can",y@idfcfirstbank.com,NOT_EXPENSE
Your Zomato order from Biryani Blues,"Hi Shivam Chaudhry, Thank you for ordering from Biryani Blues ORDER ID: 6909424083 Delivered Biryani Blues SCF 32, Ground Floor, HUDA Market, Sector 4, Gurgaon 1 X Soya Chaap Biryani (Serves 1) Total",noreply@zomato.com,NOT_EXPENSE
 SwapME Sport Strap Com... from your order has been shipped,"Flipkart.com Item Shipped Hi Shivam Chaudhry, An item from your order has been shipped. Order placed on May 13, 2025 Order ID OD434393065607045100 Delivery by Wednesday, May 14, 2025 Track your",no-reply@nct.flipkart.com,NOT_EXPENSE
Receipt of your request - ICICI Prudential Mutual Fund,"Dear Investor/s Greetings from ICICI Prudential Mutual Fund. We have received a request to open a folio in your name/s on 10-MAY-25, with following details Sole / First holder &amp; PAN SXXXXXXXXXXXXRY",enq_P@camsonline.com,NOT_EXPENSE
Your Zomato order from Temptation Foods,"Hi Shivam Chaudhry, Thank you for ordering from Temptation Foods ORDER ID: 6835606478 Delivered Temptation Foods Yashoda Market, Bahjoi Road, Near Reliance Petrol Pump, Sambhal Locality, Sambhal 1 X",noreply@zomato.com,NOT_EXPENSE
Your payment of ₹ 149.0 to Easebuzz Private Limited was successful,"Hi Shivam, Your payment to Easebuzz Private Limited was Approved Paid to Amount Easebuzz Private Limited ₹149.0 Seller Easebuzz Private Limited Easebuzz Private Limited Id E2504150EXKQ95 Transaction ID",no-reply@amazonpay.in,NOT_EXPENSE
Your Order for XYXX Men Aero Anti-bac... has been successfully placed,"Flipkart.com Order Placed Hi Shivam Chaudhry, Your order has been successfully placed. Order placed on Mar 07, 2025 Order ID OD433814294487064100 Delivery on Fri, Mar 07, 2025 by 11:00 PM Amount",no-reply@nct.flipkart.com,NOT_EXPENSE
Your Order for MINARA Makeup Brush Ap... has been successfully placed,"Flipkart.com Order Placed Hi Shivam Chaudhry, Your order has been successfully placed. Order placed on Mar 07, 2025 Order ID OD433814160985231100 Delivery on Fri, Mar 07, 2025 by 11:00 PM Amount",no-reply@ncb.flipkart.com,NOT_EXPENSE
Your Order for Ryme Mini/Small Pack o... has been successfully placed,"Flipkart.com Order Placed Hi Shivam Chaudhry, Your order has been successfully placed. Order placed on Mar 04, 2025 Order ID OD433791993764615100 Delivery by Sat, Mar 08, 2025 Amount PayableRs. 186",no-reply@ncb.flipkart.com,NOT_EXPENSE
[Grand IVA 103] Receipt for your payment,"Payment Receipt Dear Member, Your payment is received by the Community Admin. Please find attached receipt for your payment. The latest outstanding against your unit(s) after this payment is mentioned",support@signatureglobal.in,NOT_EXPENSE
New credit card bill generated!,"If you are unable to view the below e-mailer, please click here. Hello SHIVAM, A new credit card bill has been generated! Bank: IDFC FIRST Bank Credit Card Card: **** Total due: ₹1679 Minimum due: ₹",no-reply@kotak.com,NOT_EXPENSE
[Grand IVA 103] Receipt for your payment,"Payment Receipt Dear Member, Your payment is received by the Community Admin. Please find attached receipt for your payment. The latest outstanding against your unit(s) after this payment is mentioned",support@signatureglobal.in,NOT_EXPENSE
Delivered: 1 item | Order # 171-8412082-7203535,Delivered: 1 item | Order # 171-8412082-7203535͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏,order-update@amazon.in,NOT_EXPENSE
