subject,body,sender,label
Storage AWS,AWS S3 bill $22.00 for March storage.,billing@aws.amazon.com,EXPENSE
Adobe Creative Cloud,Adobe Creative Cloud All Apps ₹2200 charged. Monthly plan renewed.,billing@adobe.com,EXPENSE
Google One storage plan,Your Google One 100GB plan renewed. ₹130/month charged to your GPay account.,payments-noreply@google.com,EXPENSE
E-commerce,Shopify subscription ₹1800/month charged.,billing@shopify.com,EXPENSE
Privileged access,CyberArk subscription ₹45000/month.,billing@cyberark.com,EXPENSE
Code review,CodeSandbox subscription ₹850/month.,billing@codesandbox.io,EXPENSE
School fee receipt,Monthly fee of ₹4500 for April received. Student: Rohan Sharma.,fees@school.edu,EXPENSE
Property tax,Municipal corporation property tax ₹7200 for FY 2026-27 confirmed.,receipts@mcgm.gov.in,EXPENSE
Chai Point order,Your Chai Point order has been delivered. Total: ₹180. Paid via Paytm.,orders@chaipoint.com,EXPENSE
HR,BambooHR subscription ₹4500/month charged.,billing@bamboohr.com,EXPENSE
Transaction alert for your ICICI Bank Credit Card,Your ICICI Bank Credit Card ending XX49 has been used for a transaction of INR 51.00 at UPI merchant.,credit_cards@icicibank.com,EXPENSE
Power bill ready,AP electricity bill: ₹2650 for March. Consumer: 987654. Due: April 15.,apspdcl@ap.gov.in,EXPENSE
Task mgmt,Todoist Business subscription ₹450/user/month.,billing@todoist.com,EXPENSE
Electronics store,Croma purchase ₹6500 for headphones via EMI.,orders@croma.com,EXPENSE
Monthly card statement,Your HSBC credit card monthly statement is ready. Total spent: ₹19500. Due date: April 8.,statements@hsbc.co.in,EXPENSE
Audiobooks,Audible subscription ₹650/month charged.,billing@audible.com,EXPENSE
Restaurant bill,Payment of ₹1200 made at Barbeque Nation via UPI.,payment@upi.com,EXPENSE
Upstox,Brokerage ₹35 deducted for intraday trades on March 25.,noreply@upstox.com,EXPENSE
Bajaj Finserv EMI,Your Bajaj Finserv No-Cost EMI of ₹2500 has been auto-debited from your account.,emi@bajajfinserv.in,EXPENSE
Gym membership fee,Your FitPath gym membership fee of ₹2400 is due for April. Renew to continue.,billing@fitpath.com,EXPENSE
Database AWS,AWS RDS bill $35.00 for March.,billing@aws.amazon.com,EXPENSE
Groww mutual fund SIP,Your Groww SIP of ₹2000 in Parag Parikh Flexi Cap Fund has been processed.,noreply@groww.in,EXPENSE
Threat intel,ThreatConnect subscription ₹25000/month.,billing@threatconnect.com,EXPENSE
Payment receipt for subscription,Thank you for your payment of ₹999/month for Netflix. Your subscription is renewed.,no-reply@netflix.com,EXPENSE
Platform fee charged,Marketplace platform fee of ₹450 charged to your seller account for March.,fees@marketplace.com,EXPENSE
Citi card payment,Citi credit card payment due: ₹32500. Pay by April 15 to avoid late fees.,citicards@citi.com,EXPENSE
ZTNA,Twingate subscription ₹3500/month.,billing@twingate.com,EXPENSE
IndusInd card dues,IndusInd Bank credit card payment due: ₹24300. Due date: April 3.,cards@indusind.com,EXPENSE
Payment successful for your Kotak neo account,Payment of ₹5000 has been successfully received for your Kotak neo trading account.,noreply@nmail.kotaksecurities.com,EXPENSE
AWS bill for March,Your AWS bill for March is ready. Total charges: $45.67. Due date: April 15.,billing@aws.amazon.com,EXPENSE
Documents,Google Docs workspace subscription ₹1350/month.,billing@google.com,EXPENSE
Two-wheeler loan EMI,Kotak two-wheeler loan EMI ₹3500 paid. Loan: TW-2024-234.,emi@kotak.com,EXPENSE
Noise watch,Noise ColorFit Pro 5 order confirmed. ₹2999 via PhonePe.,orders@gonoise.com,EXPENSE
Help center,HelpScout subscription ₹2500/month.,billing@helpscout.com,EXPENSE
Kubernetes,AWS EKS bill $45.00 for March cluster usage.,billing@aws.amazon.com,EXPENSE
Email provider,Google Workspace Business ₹680/user/month.,billing@google.com,EXPENSE
Identity,OneLogin subscription ₹3200/month.,billing@onelogin.com,EXPENSE
Personal finance EMI,Bajaj Finserv personal loan EMI ₹9500 deducted. Loan: PFL-2024-890.,emi@bajajfinserv.in,EXPENSE
Firewall,Palo Alto Networks subscription ₹65000/month.,billing@paloaltonetworks.com,EXPENSE
IndiaMART payment for leads,Your IndiaMART lead purchase pack payment of ₹5000 has been processed.,billing@indiamart.com,EXPENSE
CRM software,Salesforce subscription ₹8500/month charged.,billing@salesforce.com,EXPENSE
Netflix subscription,Your Netflix Premium subscription renewed. ₹649/month charged to card.,no-reply@netflix.com,EXPENSE
BookMyShow tickets,"2 tickets for Avengers movie booked. Total: ₹900. Show: March 29, 7 PM.",tickets@bookmyshow.com,EXPENSE
Finance app,YNAB subscription ₹520/month.,billing@ynab.com,EXPENSE
Project mgmt,Smartsheet subscription ₹950/user/month.,billing@smartsheet.com,EXPENSE
A/B testing,Optimizely subscription ₹12000/month charged.,billing@optimizely.com,EXPENSE
Razorpay payment receipt,Payment of ₹1500 to TechCorp via Razorpay was successful. Invoice attached.,noreply@razorpay.com,EXPENSE
Training,Udemy Business subscription ₹2100/user/month.,billing@udemy.com,EXPENSE
Database,Neon database bill $15.00 for March.,billing@neon.tech,EXPENSE
CRED cashback earned,₹89 CRED cashback earned on your credit card bill payment of ₹4339.85.,rewards@cred.club,EXPENSE
JioMart order delivered,Your JioMart grocery order has been delivered. Total: ₹870. Payment via JioPay.,orders@jiomart.com,EXPENSE
Email tools,Mailgun subscription ₹1200/month charged.,billing@mailgun.com,EXPENSE
Load balancer,NGINX Ingress Controller subscription ₹2500/month.,billing@nginx.com,EXPENSE
Grocery store,DMart purchase of ₹850 paid via debit card.,store@dmart.in,EXPENSE
Push notifications,OneSignal subscription ₹950/month charged.,billing@onesignal.com,EXPENSE
Load balancer,AWS ALB bill $15.00 for March.,billing@aws.amazon.com,EXPENSE
Zomato Gold,Zomato Gold membership renewed for 3 months. ₹450 charged to card.,membership@zomato.com,EXPENSE
Code review,SonarCloud subscription ₹2200/month charged.,billing@sonarsource.com,EXPENSE
Whiteboard,Miro subscription ₹1200/user/month.,billing@miro.com,EXPENSE
Team communication,Slack subscription ₹780/month per user charged.,billing@slack.com,EXPENSE
Late fee charged,Late payment fee of ₹75 added to your credit card bill.,fees@icicibank.com,EXPENSE
Books,Scribd subscription ₹350/month charged.,billing@scribd.com,EXPENSE
Urban Company,Salon at home service payment ₹950 via Urban Company.,noreply@urbancompany.com,EXPENSE
Amex card statement,American Express card statement: ₹47500. Minimum due: ₹2375. Due: April 25.,statements@americanexpress.com,EXPENSE
DNS,Cloudflare DNS subscription ₹850/month.,billing@cloudflare.com,EXPENSE
Income tax payment,Advance tax payment of ₹35000 confirmed. Challan: 2345678.,noreply@incometax.gov.in,EXPENSE
Razorpay payment,Payment of ₹2500 to VendorX via Razorpay successful.,noreply@razorpay.com,EXPENSE
Home loan EMI deducted,Your home loan EMI of ₹32000 has been auto-debited. Account: HL-2024-789.,emi@icicibank.com,EXPENSE
Serverless,Vercel Pro subscription ₹1200/month.,billing@vercel.com,EXPENSE
MOTO payment,INR 249 via MOTO/SI on Kotak card. Merchant: Flipkart.,alerts@kotak.com,EXPENSE
Cloud security,Orca Security subscription ₹25000/month.,billing@orca.security,EXPENSE
Compliance,Drata subscription ₹28000/month.,billing@drata.com,EXPENSE
Byju's,Byju's subscription renewed. Monthly charge: ₹1599.,billing@byjus.com,EXPENSE
Angel One brokerage,Brokerage of ₹20 charged for your F&O trade on Angel One. Contract note attached.,trades@angelone.in,EXPENSE
TDS,TDS of ₹1200 deducted on FD interest for Q4 FY26.,tds@sbi.co.in,EXPENSE
Tracing,Jaeger Cloud subscription ₹8500/month.,billing@jaegertracing.io,EXPENSE
Vulnerability mgmt,Qualys subscription ₹35000/month.,billing@qualys.com,EXPENSE
Online course,Udemy course 'Advanced Python' purchased for ₹1299.,noreply@udemy.com,EXPENSE
Prototyping tool,Figma Professional subscription ₹1200/month charged.,billing@figma.com,EXPENSE
Security,SonarQube Enterprise subscription ₹45000/month.,billing@sonarsource.com,EXPENSE
Monthly EMI deducted,Your EMI of Rs. 5000 for loan account has been auto-debited successfully.,emi@hdfc.com,EXPENSE
EMI reminder for home loan,Your home loan EMI of ₹22000 will be auto-debited on 5th April from your account.,homeloan@sbi.com,EXPENSE
Marketing automation,ActiveCampaign subscription ₹2500/month.,billing@activecampaign.com,EXPENSE
Error tracking,Sentry subscription ₹2100/month.,billing@sentry.io,EXPENSE
Scribd,Scribd subscription ₹420 charged. Monthly plan renewed.,billing@scribd.com,EXPENSE
Cashback received,₹120 PhonePe cashback credited for your recent Amazon purchase.,rewards@phonepe.com,EXPENSE
Logging,Loggly subscription ₹2800/month charged.,billing@loggly.com,EXPENSE
Help desk,Zendesk subscription ₹3800/month charged.,billing@zendesk.com,EXPENSE
Gas cylinder bill,Indane LPG cylinder booking payment: ₹903. Booking ID: HP987654321.,noreply@indianoil.in,EXPENSE
Dunzo Daily,Dunzo Daily order delivered. Total: ₹150 charged to wallet.,noreply@dunzo.com,EXPENSE
HR software,Zoho People subscription ₹3800/month charged.,billing@zoho.com,EXPENSE
Bank debit alert,INR 3500 debited from your account via UPI to Swiggy Foods. Ref: UPI123456789.,alerts@hdfcbank.com,EXPENSE
Observability,VictoriaMetrics subscription ₹2500/month.,billing@victoriametrics.com,EXPENSE
Trading,StockTwits Premium subscription ₹250/month charged.,billing@stocktwits.com,EXPENSE
Chat widget,Intercom subscription ₹4500/month charged.,billing@intercom.com,EXPENSE
OneDrive storage,Microsoft OneDrive 100GB ₹195 charged. Storage plan renewed.,billing@microsoft.com,EXPENSE
Oyo room booking,Oyo booking confirmed at Hotel Sunrise for 1 night. Total: ₹1200. Check-in: March 28.,bookings@oyorooms.com,EXPENSE
Householders insurance,Oriental Insurance householders policy ₹3200 due. Policy: HH-2024-789.,premium@orientalinsurance.co.in,EXPENSE
Udaan,Udaan wholesale order for supplies shipped. Total ₹7500.,orders@udaan.com,EXPENSE
Software license,Microsoft Office 365 annual subscription ₹5299 renewed.,billing@microsoft.com,EXPENSE
Stock photos,Shutterstock subscription ₹899/month charged.,billing@shutterstock.com,EXPENSE
Mobile testing,TestFairy subscription ₹1800/month charged.,billing@testfairy.com,EXPENSE
Loan installment due,Two-wheeler loan installment ₹3800 due on April 10. Loan: TW-2024-234.,installment@kotak.com,EXPENSE
Edge,Fastly subscription ₹8500/month.,billing@fastly.com,EXPENSE
Graphic design,Adobe Illustrator subscription ₹1800/month charged.,billing@adobe.com,EXPENSE
GST invoice from vendor,GST Invoice No: INV-2024-056. Amount payable: ₹18500 + GST ₹3330.,accounts@vendor.co.in,EXPENSE
Grocery store,DMart purchase of ₹1200 paid via debit card.,store@dmart.in,EXPENSE
SIEM,Splunk SIEM subscription ₹65000/month.,billing@splunk.com,EXPENSE
Jio recharge successful,Your prepaid recharge of ₹299 for 9876543210 is successful. Validity: 28 days.,recharge@jio.com,EXPENSE
Web hosting,Bluehost hosting bill ₹450 for March due April 15.,billing@bluehost.com,EXPENSE
Access mgmt,BeyondTrust subscription ₹12000/month.,billing@beyondtrust.com,EXPENSE
HDFC debit alert,Your HDFC savings account has been debited by ₹15000 via NEFT. Avl bal: ₹25400.,alerts@hdfcbank.com,EXPENSE
CRED cashback,₹75 CRED cashback on credit card payment of ₹4500.,rewards@cred.club,EXPENSE
Amazon order confirmed,Your order #234-567 for ₹2899 has been shipped. Expected delivery: March 25.,ship-confirm@amazon.in,EXPENSE
Canara card payment,Canara Bank credit card: ₹24500 due on April 20. Minimum due: ₹2450.,payments@canarabank.in,EXPENSE
Survey tool,Typeform subscription ₹950/month charged.,billing@typeform.com,EXPENSE
Conference registration paid,Payment of ₹5000 received for PyConIndia 2024 registration.,registration@pyconindia.org,EXPENSE
API service,OpenAI API usage $42.00 for March.,billing@openai.com,EXPENSE
Printer ink ordered,Staples order confirmed. HP Ink Cartridge 2-pack: ₹890 charged to your card.,orders@staples.com,EXPENSE
Vulnerability mgmt,Tenable subscription ₹32000/month.,billing@tenable.com,EXPENSE
Metrics,InfluxDB Cloud subscription ₹5500/month.,billing@influxdata.com,EXPENSE
Transaction Successful,Your Kotak bank account has been debited for ₹10000.00. Transaction ID: TXN2026032219.,no-reply@kotak.com,EXPENSE
IndiaMART,IndiaMART lead purchase ₹4000 processed.,billing@indiamart.com,EXPENSE
Observability,Thanos subscription ₹4500/month.,billing@thanos.io,EXPENSE
Substack,Substack newsletter subscription ₹350 charged. Monthly plan renewed.,noreply@substack.com,EXPENSE
Bill due reminder,Payment reminder for your Bank of Baroda credit card: ₹19800 due on April 3. Avoid late payment charges.,reminders@bankofbaroda.com,EXPENSE
Logging,Logz.io subscription ₹12000/month.,billing@logz.io,EXPENSE
YouTube Premium,YouTube Music + Premium ₹129 charged to UPI. Subscription active until May 2026.,billing@youtube.com,EXPENSE
Medical insurance premium,Care Health insurance premium ₹13500 auto-debited. Policy: CH-2024-234.,premium@carehealth.com,EXPENSE
Ather,Ather Grid charging complete. ₹35 charged to account.,charging@ather.com,EXPENSE
Music streaming,YouTube Music Premium ₹129/month charged.,billing@youtube.com,EXPENSE
McKinsey Quarterly,McKinsey Quarterly subscription ₹1800 charged. Annual plan renewed.,subscription@mckinsey.com,EXPENSE
EDR,Carbon Black subscription ₹25000/month.,billing@carbonblack.com,EXPENSE
Dental bill,Dental consultation fee: ₹1200. Dr. Mehta Dental Clinic.,billing@mehtaclinic.com,EXPENSE
Code review,SonarCloud subscription ₹2500/month.,billing@sonarsource.com,EXPENSE
Food delivery order paid,Your Dunzo order has been delivered. Total: ₹280 paid via card.,noreply@dunzo.com,EXPENSE
BookMyShow event,BookMyShow booking for concert. 2 tickets ₹2200 each. Total: ₹4400.,events@bookmyshow.com,EXPENSE
Social media,Sprout Social subscription ₹8500/month charged.,billing@sproutsocial.com,EXPENSE
Critical illness insurance,Aditya Birla critical illness insurance premium ₹4200 deducted. Policy: CI-2024-890.,premium@adityabirlahealth.com,EXPENSE
Dental checkup bill,Your dental appointment bill: ₹1500. Dr. Sharma Dental Clinic. Receipt attached.,billing@clinic.com,EXPENSE
SIEM,LogRhythm subscription ₹35000/month.,billing@logrhythm.com,EXPENSE
Standard Chartered bill,Standard Chartered credit card bill: ₹26500. Payment due: April 5.,cards@sc.com,EXPENSE
International transfer,Wire transfer of USD 800 sent to account ending 6789. Ref: TXN20260324.,wire@sbi.co.in,EXPENSE
EV charging station payment,Your Tata Power EZ Charge bill: ₹120 for 8kWh. Paid via Paytm.,billing@tatapowerez.com,EXPENSE
Vi postpaid bill,Your Vi postpaid bill of ₹599 has been generated. Pay before March 25.,billing@myvi.in,EXPENSE
Amazon Subscribe,Subscribe & Save order placed. 4 items ₹1650.,subscribe@amazon.in,EXPENSE
Kindle Unlimited,Kindle Unlimited subscription ₹169 charged to Amazon Pay. Monthly plan active.,kindle@amazon.com,EXPENSE
Kubernetes,AWS EKS bill $52.00 for March cluster usage.,billing@aws.amazon.com,EXPENSE
Car insurance renewal,ICICI Lombard car insurance policy renewed. Premium: ₹14500. Policy: CL-2024-456.,renewal@icicilombard.com,EXPENSE
UGC,TINT subscription ₹2500/month charged.,billing@tint.com,EXPENSE
Social media,Hootsuite subscription ₹3800/month charged.,billing@hootsuite.com,EXPENSE
Logging,ELK Stack subscription ₹8500/month.,billing@elastic.co,EXPENSE
Training,Udemy Business subscription ₹1800/user/month.,billing@udemy.com,EXPENSE
Group health insurance,ICICI Pru group health premium ₹18500 deducted. Policy: GH-2024-123.,premium@icicipru.com,EXPENSE
Federal Bank dues,Federal Bank credit card: ₹23400. Due on April 20.,bills@federalbank.co.in,EXPENSE
CI/CD,Heroku CI subscription ₹3500/month.,billing@heroku.com,EXPENSE
Chat widget,Intercom subscription ₹4800/month.,billing@intercom.com,EXPENSE
Loyalty,Smile.io subscription ₹850/month charged.,billing@smile.io,EXPENSE
Transaction alert: INR 2000 debited,Dear Customer your account has been debited INR 2000 for Swiggy order #987.,alerts@bank.com,EXPENSE
Personal loan EMI,Axis Bank personal loan EMI ₹18500 deducted for March. Loan: PL-2023-456.,emi@axisbank.com,EXPENSE
Personal loan EMI,Your personal loan EMI of ₹8500 auto-debited on March 25.,emi@axisbank.com,EXPENSE
Code editor,JetBrains PhpStorm subscription ₹1650/month.,billing@jetbrains.com,EXPENSE
Water tax,Annual water tax payment: ₹3500. Due: April 15. Pay through municipal portal.,taxes@corporation.gov.in,EXPENSE
Flipkart Pay Later,Flipkart Pay Later bill ₹1800 due March 20.,billing@flipkart.com,EXPENSE
Logging,Logstash subscription ₹2500/month.,billing@elastic.co,EXPENSE
Customer support,Freshdesk subscription ₹3500/month.,billing@freshdesk.com,EXPENSE
CDN service,Cloudflare bill $15.00 for March usage.,billing@cloudflare.com,EXPENSE
Card transaction,Your ICICI Bank Credit Card ending XX67 charged ₹320 at merchant.,alerts@icicibank.com,EXPENSE
Pepperfry,Pepperfry bookshelf delivered. ₹3500 via credit card.,orders@pepperfry.com,EXPENSE
LinkedIn Premium,LinkedIn Premium ₹1800 charged. Monthly plan renewed.,billing@linkedin.com,EXPENSE
Water bill paid,Delhi Jal Board water bill of ₹380 paid for consumer 9876543.,bills@djb.gov.in,EXPENSE
Google Play purchase,You made a purchase of ₹129.00 on Google Play. Order ID: GPA.1234-5678.,payments-noreply@google.com,EXPENSE
Presentations,Google Slides workspace subscription ₹1350/month.,billing@google.com,EXPENSE
SSO,Ping Identity subscription ₹8500/month.,billing@pingidentity.com,EXPENSE
Kotak securities brokerage,Brokerage charge of ₹20 debited for your equity trade. Contract note: CN-2026-456.,noreply@kotaksecurities.com,EXPENSE
BigBasket membership,BigBasket BB Star annual membership activated. ₹299.,membership@bigbasket.com,EXPENSE
Car loan EMI,ICICI Bank car loan EMI ₹22500 auto-debited. Loan: CL-2024-123.,loans@icicibank.com,EXPENSE
File storage,Dropbox Business subscription ₹1400/month charged.,billing@dropbox.com,EXPENSE
JioMart order,JioMart grocery order delivered. Total: ₹650 via JioPay.,orders@jiomart.com,EXPENSE
Union Bank card bill,Union Bank credit card: ₹25600. Pay by April 20 to avoid interest.,alerts@unionbankofindia.com,EXPENSE
Water bill paid,Delhi Jal Board water bill of ₹320 paid for consumer 9876543.,payments@djb.gov.in,EXPENSE
Indian Express,Indian Express digital subscription ₹699 charged. Annual plan active.,subscription@indianexpress.com,EXPENSE
Database service,MongoDB Atlas bill $32.50 for March.,billing@mongodb.com,EXPENSE
Motor insurance,IFFCO-Tokio motor insurance premium ₹5200 paid. Policy: MI-2024-890.,insurance@iffcotokio.co.in,EXPENSE
DTDC,DTDC courier charges ₹150 for domestic parcel shipment.,noreply@dtdc.com,EXPENSE
Passport fee payment,Passport application fee of ₹1500 has been paid online. Application ID: PA-2026-789.,receipts@passportindia.gov.in,EXPENSE
Spreadsheets,Google Sheets workspace subscription ₹1200/month.,billing@google.com,EXPENSE
Notes,Evernote Business subscription ₹950/user/month.,billing@evernote.com,EXPENSE
Airtel bill payment,Your Airtel postpaid bill of ₹749 has been paid via autopay from your bank account.,billing@airtel.in,EXPENSE
Courier insurance charge,Delhivery shipping insurance of ₹50 charged for your Meesho order.,charges@delhivery.com,EXPENSE
ACT Fibernet bill paid,Your ACT Fibernet internet bill of ₹1199 for March has been paid. Next due: April 15.,billing@actcorp.in,EXPENSE
CDN,Akamai subscription ₹35000/month.,billing@akamai.com,EXPENSE
Design system,Abstract subscription ₹650/user/month.,billing@abstract.com,EXPENSE
SMS,Twilio subscription ₹2800/month.,billing@twilio.com,EXPENSE
Magazines,Readly subscription ₹450/month charged.,billing@readly.com,EXPENSE
Security,Veracode subscription ₹95000/month.,billing@veracode.com,EXPENSE
Google One,Google One 200GB storage plan ₹130 charged to GPay. Storage upgraded.,payments-noreply@google.com,EXPENSE
Ather charging payment,Ather Grid charging session complete. ₹45 charged to your Ather account.,charging@ather.com,EXPENSE
IRCTC ticket,Train ticket booked. PNR: 3456789012. Fare: ₹890. Class: 2A.,irctc@irctc.co.in,EXPENSE
Mind mapping,MindMeister subscription ₹850/month.,billing@mindmeister.com,EXPENSE
Grammarly Premium,Grammarly Premium ₹990 charged. Annual plan renewed.,billing@grammarly.com,EXPENSE
Delhivery insurance,Shipping insurance ₹65 charged for Meesho order.,charges@delhivery.com,EXPENSE
API gateway,Kong Cloud subscription ₹8500/month.,billing@konghq.com,EXPENSE
BigBasket order delivered,Your grocery order worth ₹1800 has been delivered. Paid via credit card.,orders@bigbasket.com,EXPENSE
SEO tools,SEMrush subscription ₹9500/month.,billing@semrush.com,EXPENSE
Vi bill,Vi postpaid bill ₹499 generated. Pay before March 28.,billing@myvi.in,EXPENSE
Email provider,Google Workspace Business ₹750/user/month.,billing@google.com,EXPENSE
Medical store,Pharmacy bill ₹420 paid at local chemist.,billing@chemist.com,EXPENSE
PharmEasy,PharmEasy medicine order placed. ₹550 via wallet.,orders@pharmeasy.in,EXPENSE
Vulnerability mgmt,Rapid7 subscription ₹28000/month.,billing@rapid7.com,EXPENSE
Database tool,DataGrip subscription ₹1050/month.,billing@jetbrains.com,EXPENSE
SEO tools,SEMrush subscription ₹8500/month charged.,billing@semrush.com,EXPENSE
Energy bill,TNEB electricity bill: ₹1850. Due: April 10. Pay now.,eb@tneb.tn.gov.in,EXPENSE
FirstCry order confirmed,Your FirstCry order #FC456 for baby products has been confirmed. Total: ₹1299.,orders@firstcry.com,EXPENSE
Electricity statement,KSEB electricity bill for March: ₹2200. Due: April 8.,kseb@kerala.gov.in,EXPENSE
SBI credit card transaction,INR 3200.00 spent on your SBI credit card at Croma Electronics. Avl limit: ₹46800.,alerts@sbi.co.in,EXPENSE
BSNL landline bill,Your BSNL landline bill of ₹650 for March is ready. Due date: April 10.,billing@bsnl.co.in,EXPENSE
Order shipped: delivery by tomorrow,Your Flipkart order worth ₹3499 has been shipped. Expected delivery tomorrow.,ship@flipkart.com,EXPENSE
HBR,Harvard Business Review subscription ₹1200 charged. Annual plan active.,subscription@hbr.org,EXPENSE
NoBroker rent,Monthly rent ₹20000 transferred via NoBroker Pay.,payments@nobroker.in,EXPENSE
Prototyping tool,Figma Professional subscription ₹1350/month charged.,billing@figma.com,EXPENSE
Office supplies order confirmation,Your order for stationery items from Amazon Business has been confirmed. Total: ₹2340.,business@amazon.in,EXPENSE
Forms,Google Forms workspace subscription ₹1200/month.,billing@google.com,EXPENSE
Canara card statement,Canara Bank credit card bill: ₹23400. Due on April 15.,statements@canarabank.in,EXPENSE
Gas bill,Mahanagar Gas bill ₹780 for March generated. Due: April 10.,billing@mahanagargas.com,EXPENSE
LensDen,LensDen contact lens order confirmed. ₹980 shipped in 2 days.,orders@lensden.com,EXPENSE
Hotel booking confirmed,Your booking at Taj Palace confirmed for 2 nights. Total: ₹18500. Check-in: March 30.,bookings@tajhotels.com,EXPENSE
CI/CD,Codeship subscription ₹4500/month.,billing@codeship.com,EXPENSE
Penetration testing,HackerOne subscription ₹25000/month.,billing@hackerone.com,EXPENSE
Compliance,Tugboat Logic subscription ₹18000/month.,billing@tugboatlogic.com,EXPENSE
Card bill notification,Your SBI credit card ending 4567 has a bill of ₹32450 due on April 10. Minimum due: ₹3245.,cards@sbi.co.in,EXPENSE
Loan EMI reminder,Payment reminder: Your personal loan EMI of ₹19500 is due on April 5. Pay now.,reminders@bank.com,EXPENSE
Code editor,JetBrains PhpStorm subscription ₹1500/month charged.,billing@jetbrains.com,EXPENSE
Licious order,Licious order delivered. Total: ₹420 via PhonePe.,orders@licious.in,EXPENSE
Swiggy One,Swiggy One membership renewed. ₹199 for 1 month. Free deliveries activated.,membership@swiggy.com,EXPENSE
Landline bill,MTNL landline bill for March: ₹550. Due: April 18.,billing@mtel.in,EXPENSE
Documentation,SwaggerHub subscription ₹450/month.,billing@swaggerhub.com,EXPENSE
Web hosting,Bluehost hosting bill ₹550 for March due April 15.,billing@bluehost.com,EXPENSE
AU Bank card,AU Small Finance Bank credit card: ₹14500. Due: April 5. Minimum: ₹1450.,cards@aubank.com,EXPENSE
Credit card bill,Your ICICI credit card bill of ₹8750 is due on April 10.,statement@icicibank.com,EXPENSE
Team communication,Slack subscription ₹880/month per user charged.,billing@slack.com,EXPENSE
Observability,Grafana subscription ₹4500/month.,billing@grafana.com,EXPENSE
Credit card payment,Your HDFC credit card payment of ₹25000 is processed. Card ending 4567.,cards@hdfcbank.com,EXPENSE
Flipkart order shipped,Your order #FL789 for ₹4500 has been shipped. Delivery by March 26.,shipping@flipkart.com,EXPENSE
Video conferencing,Zoom Pro subscription ₹1350/month charged.,billing@zoom.us,EXPENSE
Practo consultation payment,Payment of ₹500 for your online consultation with Dr. Mehta confirmed.,noreply@practo.com,EXPENSE
EDR,SentinelOne subscription ₹35000/month.,billing@sentinelone.com,EXPENSE
Gas pipeline bill,Your Mahanagar Gas bill of ₹850 for March has been generated. Due date: April 10.,billing@mahanagargas.com,EXPENSE
Sprout Social,Sprout Social subscription ₹8500 charged. Monthly plan active.,billing@sproutsocial.com,EXPENSE
Internet bill,ACT Fibernet bill for March: ₹1299. Due: April 12. Auto-pay active.,billing@actcorp.in,EXPENSE
Home loan EMI,HDFC home loan EMI ₹30000 deducted for March.,homeloan@hdfc.com,EXPENSE
Nykaa order shipped,Your Nykaa order #NK789 worth ₹1350 has been shipped. COD amount: ₹1350.,orders@nykaa.com,EXPENSE
Tata Power,Tata Power EZ Charge bill: ₹95 for 7kWh via Paytm.,billing@tatapowerez.com,EXPENSE
File storage,Dropbox Business subscription ₹1200/month charged.,billing@dropbox.com,EXPENSE
Payments,Stripe account fees 2.9% + ₹30 per transaction.,billing@stripe.com,EXPENSE
Bill generated: HDFC,HDFC credit card bill generated for card ending 5678. Total: ₹28900. Pay by April 5.,billing@hdfcbank.com,EXPENSE
Freelance invoice paid,Payment of USD 500 received for project #2024-03.,payment@upwork.com,EXPENSE
Antivirus,McAfee Enterprise subscription ₹22000/month.,billing@mcafee.com,EXPENSE
APM,New Relic subscription ₹6500/month charged.,billing@newrelic.com,EXPENSE
Magazines,Readly subscription ₹520/month.,billing@readly.com,EXPENSE
Your order has been confirmed,Your Amazon order #123-456 for ₹1499 has been confirmed. Payment received via UPI.,order-update@amazon.in,EXPENSE
Email marketing,Mailchimp monthly plan ₹1050 charged to card.,billing@mailchimp.com,EXPENSE
Development tool,GitHub Copilot subscription ₹850/month charged.,billing@github.com,EXPENSE
Conference fee,Payment of ₹8000 for DevOps India Conference 2024 received.,registration@devopsconf.com,EXPENSE
Email deliverability,SendGrid subscription ₹2500/month charged.,billing@sendgrid.com,EXPENSE
BCG Perspectives,BCG Perspectives subscription ₹950 charged. Annual plan renewed.,subscription@bcg.com,EXPENSE
Ahrefs,Ahrefs Lite subscription ₹8500 charged. Monthly plan renewed.,billing@ahrefs.com,EXPENSE
Business loan EMI,ICICI Bank business loan EMI ₹45000 paid. Loan: BL-2024-678.,loans@icicibank.com,EXPENSE
New bill notification,Your RBL Bank credit card bill of ₹14500 has been generated. Minimum due: ₹1450. Due: March 31.,bills@rblbank.com,EXPENSE
Database service,MongoDB Atlas bill $28.50 for March.,billing@mongodb.com,EXPENSE
WazirX crypto purchase,You bought 0.005 BTC for ₹25000 on WazirX. Transaction fee: ₹50.,noreply@wazirx.com,EXPENSE
Email security,Barracuda subscription ₹18000/month.,billing@barracuda.com,EXPENSE
SIP auto-debit,SIP of ₹2500 for Axis Bluechip Fund debited.,sip@axismf.com,EXPENSE
SASE,Versa Networks subscription ₹22000/month.,billing@versanetworks.com,EXPENSE
BOB card dues,Bank of Baroda credit card: ₹22800 due on April 15. Pay now.,cards@bankofbaroda.com,EXPENSE
Receipt for Zomato order,Order delivered! Total paid: ₹350 via Paytm Wallet.,noreply@zomato.com,EXPENSE
Figma Professional,Figma Professional ₹1200 charged. Monthly plan renewed.,billing@figma.com,EXPENSE
SaaS subscription,Invoice for Slack Pro. Plan: Standard. ₹925/month per user.,billing@slack.com,EXPENSE
Compliance,Vanta subscription ₹35000/month.,billing@vanta.com,EXPENSE
